sector|month|day|hour|hum_value|temp_value|co_value|no2_value|voc_value|so2_value|pm2_5_value|station_num|factory_num|construction_num|pm10_value
1|9|1|0|0.373626|0.507055|0.500000|0.475778|0.222244|0.153857|0.071795|0.500000|1.000000|0.000000|0.082245
1|9|1|1|0.373626|0.507055|0.500000|0.475778|0.222244|0.153857|0.071795|0.500000|1.000000|0.000000|0.082245
1|9|1|2|0.373626|0.507055|0.500000|0.475778|0.222244|0.153857|0.071795|0.500000|1.000000|0.000000|0.082245
1|9|1|3|0.373626|0.507055|0.500000|0.475778|0.222244|0.153857|0.071795|0.500000|1.000000|0.000000|0.082245
1|9|1|4|0.373626|0.507055|0.500000|0.475778|0.222244|0.153857|0.071795|0.500000|1.000000|0.000000|0.082245
1|9|1|5|0.373626|0.507055|0.500000|0.475778|0.222244|0.153857|0.071795|0.500000|1.000000|0.000000|0.082245
1|9|1|6|0.373626|0.507055|0.500000|0.475778|0.222244|0.153857|0.071795|0.500000|1.000000|0.000000|0.082245
1|9|1|7|0.417582|0.501068|0.000000|0.555556|0.010250|0.142857|0.133333|0.500000|1.000000|0.000000|0.132075
1|9|1|8|0.648352|0.391303|0.750000|0.537037|0.119795|0.071429|0.106667|0.500000|1.000000|0.000000|0.103774
1|9|1|9|0.714286|0.320312|0.500000|0.555556|0.038803|0.387714|0.111429|0.500000|1.000000|0.000000|0.115903
1|9|1|10|0.252747|0.696649|1.000000|0.555556|0.006406|0.000000|0.033333|0.500000|1.000000|0.000000|0.031447
1|9|1|11|0.252747|0.696649|1.000000|0.555556|0.006406|0.000000|0.033333|0.500000|1.000000|0.000000|0.031447
1|9|1|12|0.252747|0.696649|1.000000|0.555556|0.006406|0.000000|0.033333|0.500000|1.000000|0.000000|0.031447
1|9|1|13|0.362637|0.521025|1.000000|0.555556|0.339526|0.000000|0.020000|0.500000|1.000000|0.000000|0.031447
1|9|1|14|0.197802|0.718602|0.500000|0.481481|0.055093|0.142857|0.006667|0.500000|1.000000|0.000000|0.012579
1|9|1|15|0.197802|0.718602|0.500000|0.481481|0.055093|0.142857|0.006667|0.500000|1.000000|0.000000|0.012579
1|9|1|16|0.197802|0.718602|0.500000|0.481481|0.055093|0.142857|0.006667|0.500000|1.000000|0.000000|0.012579
1|9|1|17|0.197802|0.718602|0.500000|0.481481|0.055093|0.142857|0.006667|0.500000|1.000000|0.000000|0.012579
1|9|1|18|0.197802|0.718602|0.500000|0.481481|0.055093|0.142857|0.006667|0.500000|1.000000|0.000000|0.012579
1|9|1|19|0.197802|0.718602|0.500000|0.481481|0.055093|0.142857|0.006667|0.500000|1.000000|0.000000|0.012579
1|9|1|20|0.197802|0.718602|0.500000|0.481481|0.055093|0.142857|0.006667|0.500000|1.000000|0.000000|0.012579
1|9|1|21|0.337427|0.540630|0.264705|0.448815|0.012059|0.100857|0.006275|0.500000|1.000000|0.000000|0.008879
