sector|month|day|hour|hum_value|temp_value|co_value|no2_value|voc_value|so2_value|pm2_5_value|station_num|factory_num|construction_num|pm10_value
1|8|2|19|0.499215|0.645045|0.142855|0.476185|0.226595|0.224429|0.054286|0.500000|1.000000|0.000000|0.052111
1|8|2|20|0.384615|0.718602|0.500000|0.407407|0.006406|0.571429|0.100000|0.500000|1.000000|0.000000|0.132075
1|8|2|21|0.384615|0.718602|0.500000|0.407407|0.006406|0.571429|0.100000|0.500000|1.000000|0.000000|0.132075
1|8|2|22|0.500000|0.605843|0.178570|0.481481|0.132607|0.102000|0.035714|0.500000|1.000000|0.000000|0.035939
1|8|2|23|0.545055|0.587910|0.628570|0.531222|0.287947|0.379571|0.058857|0.500000|1.000000|0.000000|0.059479
1|8|3|0|0.475667|0.636492|0.285715|0.465593|0.133980|0.530571|0.038095|0.500000|1.000000|0.000000|0.044924
1|8|3|1|0.479853|0.618816|0.333335|0.493815|0.181935|0.190429|0.044444|0.500000|1.000000|0.000000|0.050314
1|8|3|2|0.410989|0.786617|0.460000|0.469630|0.036592|0.451429|0.065067|0.500000|1.000000|0.000000|0.065409
1|8|3|3|0.362637|0.854312|0.500000|0.481481|0.040999|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|3|4|0.362637|0.854312|0.500000|0.481481|0.040999|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|3|5|0.362637|0.854312|0.500000|0.481481|0.040999|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|3|6|0.362637|0.854312|0.500000|0.481481|0.040999|0.428571|0.066667|0.500000|1.000000|0.000000|0.062893
1|8|3|7|0.619048|0.548965|0.500000|0.469148|0.004484|0.190429|0.126667|0.500000|1.000000|0.000000|0.133124
1|8|3|8|0.592033|0.611332|1.000000|0.527778|0.007848|0.089286|0.103333|0.500000|1.000000|0.000000|0.105346
1|8|3|9|0.592033|0.611332|1.000000|0.527778|0.007848|0.089286|0.103333|0.500000|1.000000|0.000000|0.105346
1|8|3|10|0.747253|0.493085|0.000000|0.407407|0.012812|0.571429|0.193333|0.500000|1.000000|0.000000|0.182390
1|8|3|11|0.615385|0.540982|0.500000|0.444444|0.002562|0.285714|0.133333|0.500000|1.000000|0.000000|0.144654
1|8|3|12|0.615385|0.540982|0.500000|0.444444|0.002562|0.285714|0.133333|0.500000|1.000000|0.000000|0.144654
1|8|3|13|0.615385|0.540982|0.500000|0.444444|0.002562|0.285714|0.133333|0.500000|1.000000|0.000000|0.144654
1|8|3|14|0.615385|0.540982|0.500000|0.444444|0.002562|0.285714|0.133333|0.500000|1.000000|0.000000|0.144654
1|8|3|15|0.615385|0.540982|0.500000|0.444444|0.002562|0.285714|0.133333|0.500000|1.000000|0.000000|0.144654
1|8|3|16|0.238724|0.910296|0.904850|0.408111|0.426788|0.097000|0.067537|0.500000|1.000000|0.000000|0.065991
1|8|3|17|0.238724|0.910296|0.904850|0.408111|0.426788|0.097000|0.067537|0.500000|1.000000|0.000000|0.065991
1|8|3|18|0.210482|0.914260|0.605770|0.555556|0.081481|0.316000|0.097821|0.500000|1.000000|0.000000|0.102201
1|8|3|19|0.210482|0.914260|0.605770|0.555556|0.081481|0.316000|0.097821|0.500000|1.000000|0.000000|0.102201
1|8|3|20|0.461538|0.664718|1.000000|0.555556|0.003844|0.428571|0.146667|0.500000|1.000000|0.000000|0.150943
1|8|3|21|0.297253|0.775830|0.462500|0.443519|0.068193|0.042857|0.057167|0.500000|1.000000|0.000000|0.059906
1|8|3|22|0.373626|0.728581|1.000000|0.518519|0.269058|0.142857|0.073333|0.500000|1.000000|0.000000|0.069182
1|8|3|23|0.494505|0.562935|0.500000|0.407407|0.002562|0.428571|0.033333|0.500000|1.000000|0.000000|0.031447
