sector|month|day|hour|hum_value|temp_value|co_value|no2_value|voc_value|so2_value|pm2_5_value|station_num|factory_num|construction_num|pm10_value
1|10|1|0|0.546703|0.383819|1.000000|0.444444|0.024023|0.321429|0.191667|0.500000|1.000000|0.000000|0.210692
1|10|1|1|0.560440|0.364088|0.000000|0.481481|0.009551|0.350714|0.276970|0.500000|1.000000|0.000000|0.300172
1|10|1|2|0.598901|0.342906|0.500000|0.453704|0.004805|0.250000|0.213333|0.500000|1.000000|0.000000|0.234277
1|10|1|3|0.598901|0.342906|0.500000|0.453704|0.004805|0.250000|0.213333|0.500000|1.000000|0.000000|0.234277
1|10|1|4|0.618132|0.325194|0.500000|0.439815|0.006566|0.250000|0.229167|0.500000|1.000000|0.000000|0.250786
1|10|1|5|0.615385|0.335422|0.000000|0.555556|0.011531|0.571429|0.366667|0.500000|1.000000|0.000000|0.427673
1|10|1|6|0.615385|0.335422|0.000000|0.555556|0.011531|0.571429|0.366667|0.500000|1.000000|0.000000|0.427673
1|10|1|7|0.615385|0.335422|0.000000|0.555556|0.011531|0.571429|0.366667|0.500000|1.000000|0.000000|0.427673
1|10|1|8|0.615385|0.335422|0.000000|0.555556|0.011531|0.571429|0.366667|0.500000|1.000000|0.000000|0.427673
1|10|1|9|0.491806|0.421309|0.701755|0.452259|0.024591|0.468714|0.418480|0.500000|1.000000|0.000000|0.467064
1|10|1|10|0.428571|0.483106|1.000000|0.444444|0.006406|0.285714|0.460000|0.500000|1.000000|0.000000|0.465409
1|10|1|11|0.439560|0.445187|1.000000|0.444444|0.006406|0.285714|0.366667|0.500000|1.000000|0.000000|0.389937
1|10|1|12|0.384615|0.520257|0.653845|0.455852|0.018824|0.098857|0.248718|0.500000|1.000000|0.000000|0.263183
1|10|1|13|0.331044|0.524767|1.000000|0.495370|0.006406|0.375000|0.250833|0.500000|1.000000|0.000000|0.264151
1|10|1|14|0.307692|0.521025|1.000000|0.407407|0.006406|0.428571|0.313333|0.500000|1.000000|0.000000|0.320755
1|10|1|15|0.395604|0.505059|0.000000|0.518519|0.016656|0.571429|0.353333|0.500000|1.000000|0.000000|0.358491
1|10|1|16|0.416667|0.500569|0.291665|0.500000|0.026052|0.523857|0.393333|0.500000|1.000000|0.000000|0.410901
1|10|1|17|0.597070|0.443192|0.500000|0.481481|0.018151|0.381000|0.362222|0.500000|1.000000|0.000000|0.383648
1|10|1|18|0.318681|0.536991|1.000000|0.407407|0.000000|0.428571|0.186667|0.500000|1.000000|0.000000|0.194969
1|10|1|19|0.318681|0.536991|1.000000|0.407407|0.000000|0.428571|0.186667|0.500000|1.000000|0.000000|0.194969
1|10|1|20|0.318681|0.536991|1.000000|0.407407|0.000000|0.428571|0.186667|0.500000|1.000000|0.000000|0.194969
1|10|1|21|0.631445|0.444420|1.000000|0.464370|0.054502|0.351714|0.447692|0.500000|1.000000|0.000000|0.471214
1|10|1|22|0.631445|0.444420|1.000000|0.464370|0.054502|0.351714|0.447692|0.500000|1.000000|0.000000|0.471214
1|10|1|23|0.843956|0.372942|0.900000|0.503704|0.034081|0.200000|0.561333|0.500000|1.000000|0.000000|0.592453
1|10|2|0|0.659341|0.467140|1.000000|0.555556|0.001281|0.285714|0.300000|0.500000|1.000000|0.000000|0.308176
1|10|2|1|0.659341|0.467140|1.000000|0.555556|0.001281|0.285714|0.300000|0.500000|1.000000|0.000000|0.308176
1|10|2|2|0.659341|0.467140|1.000000|0.555556|0.001281|0.285714|0.300000|0.500000|1.000000|0.000000|0.308176
